Wavelength,S_Cone_Sensitivity,M_Cone_Sensitivity,L_Cone_Sensitivity
431.0,0.18470422431628677,0.09954173218416183,0.14399260028931096
431.5,0.18625560474632655,0.10177698924487211,0.14608094943345573
432.0,0.1877652697069858,0.10406114874115302,0.14818964513307112
432.5,0.18922381222290865,0.1063891378451657,0.15031424868248558
433.0,0.19062182531873942,0.1087558837290713,0.1524503213760277
433.5,0.19194990201912224,0.11115631356503093,0.1545934245080259
434.0,0.1931986353487013,0.11358535452520573,0.1567391193728087
434.5,0.1943586183321209,0.11603793378175684,0.15888296726470458
435.0,0.19542044399402514,0.11850897850684536,0.16102052947804205
435.5,0.19637613484570685,0.12099356554663492,0.16314690731634643
436.0,0.19722343134505294,0.12348737044329891,0.16525536211993042
436.5,0.19796150343659893,0.12598621841301316,0.1673386952383034
437.0,0.1985895210648803,0.12848593467195354,0.16938970802097486
437.5,0.19910665417443255,0.1309823444362959,0.17140120181745427
438.0,0.19951207270979127,0.13347127292221614,0.17336597797725117
438.5,0.19980494661549184,0.13594854534589007,0.175276837849875
439.0,0.1999844458360698,0.13840998692349354,0.1771265827848352
439.5,0.20004974031606068,0.14085142287120245,0.17890801413164129
440.0,0.2,0.14326867840519264,0.18061393323980274
440.5,0.1998354099210713,0.14565894225602372,0.18223945531044386
441.0,0.1995602154670502,0.1480248572117902,0.18378895095114833
441.5,0.19917967711436044,0.15037042957497043,0.18526910462111462
442.0,0.19869905533942572,0.1526996656480426,0.18668660077954127
442.5,0.19812361061866968,0.15501657173348507,0.1880481238856268
443.0,0.19745860342851615,0.15732515413377612,0.18936035839856974
443.5,0.19670929424538877,0.159629419151394,0.19062998877756854
444.0,0.19588094354571123,0.16193337308881697,0.19186369948182175
444.5,0.19497881180590726,0.16424102224852338,0.19306817497052786
445.0,0.19400815950240055,0.1665563729329915,0.19425009970288545
445.5,0.1929746274735578,0.16888324861771986,0.19541576082654155
446.0,0.19188537800551764,0.17122474147028804,0.19656985624293757
446.5,0.19074795374636153,0.17358376083129592,0.19771668654196342
447.0,0.18956989734417104,0.1759632160413433,0.19886055231350913
447.5,0.1883587514470277,0.17836601644102998,0.20000575414746455
448.0,0.18712205870301318,0.1807950713709559,0.2011565926337198
448.5,0.185867361760209,0.18325329017172085,0.20231736836216468
449.0,0.18460220326669657,0.18574358218392462,0.2034923819226892
449.5,0.1833341258705576,0.18826885674816715,0.2046859339051834
450.0,0.1820706722198736,0.1908320232050482,0.2059023248995371
450.5,0.18081801990205715,0.19343626101636352,0.2071463830103071
451.0,0.17957688626184487,0.19608583012869185,0.20842504640071655
451.5,0.17834662358330447,0.19878526060980795,0.20974578074865555
452.0,0.1771265841505036,0.2015390825274865,0.21111605173201403
452.5,0.1759161202475099,0.2043518259495021,0.21254332502868195
