feedback_type,block_id,trial_in_block,perturbation_active,gradual_perturbation,perturbation_force,end_x,end_y,hit,score_delta,score_total
trajectory,5,23,True,True,1.4,494.3138356715856,381.941507014757,False,0,561
trajectory,5,24,True,True,1.4,630.9333894842173,379.9550314806537,False,0,561
trajectory,5,25,True,True,1.5999999999999999,561.0,430.9274446530027,False,0,561
trajectory,5,26,True,True,1.5999999999999999,616.8953881642989,475.99690621957734,False,0,561
trajectory,5,27,True,True,1.5999999999999999,682.8869447974582,530.9582772835588,False,0,561
trajectory,5,28,True,True,1.7999999999999998,578.5474777518584,449.95548945914214,False,0,561
trajectory,5,29,True,True,1.7999999999999998,656.3701677279613,517.944748408058,False,0,561
trajectory,5,30,True,True,1.7999999999999998,603.8556483532212,418.9177142720961,False,0,561
trajectory,6,1,False,False,1.9999999999999998,507.9629005310122,476.90725132753215,False,0,561
trajectory,6,2,False,False,1.9999999999999998,548.2894495171965,538.9209479078562,False,0,561
trajectory,6,3,False,False,1.9999999999999998,519.6830707124769,483.9969062195775,False,0,561
trajectory,6,4,False,False,1.9999999999999998,498.7482862519548,573.96208232394,False,0,561
trajectory,6,5,False,False,1.9999999999999998,457.4489882301429,466.90725132753244,False,0,561
trajectory,6,6,False,False,1.9999999999999998,500.31961176027335,486.9588352808203,False,0,561
trajectory,6,7,False,False,1.9999999999999998,529.1332210315695,386.9550314806537,False,0,561
trajectory,6,8,False,False,1.9999999999999998,426.824360722796,549.9582772835588,False,0,561
trajectory,6,9,False,False,1.9999999999999998,494.8728803869863,490.9588352808206,False,0,561
trajectory,6,10,False,False,1.9999999999999998,481.7012664223596,491.99019114751644,False,0,561
endpos,7,1,False,False,1.9999999999999998,370.53088294224517,318.95558929603965,False,0,561
endpos,7,2,False,False,1.9999999999999998,437.18169520642346,403.99326932667356,False,0,561
endpos,7,3,False,False,1.9999999999999998,471.9668490448348,511.94474840805805,False,0,561
endpos,7,4,False,False,1.9999999999999998,431.3740294211304,429.92128508516413,False,0,561
endpos,7,5,False,False,1.9999999999999998,413.43971336289553,480.90725132753215,False,0,561
endpos,7,6,False,False,1.9999999999999998,418.3403076849749,428.91771427209613,False,0,561
endpos,7,7,False,False,1.9999999999999998,458.9791386417795,537.9582772835588,False,0,561
endpos,7,8,False,False,1.9999999999999998,473.40174968228746,537.9582772835588,False,0,561
endpos,7,9,False,False,1.9999999999999998,396.3021370745369,388.941507014757,False,0,561
endpos,7,10,False,False,1.9999999999999998,498.96225994258845,549.9245198851767,False,0,561
endpos,8,1,True,True,0.0,473.73537663032647,489.99690621957745,False,0,561
endpos,8,2,True,True,0.0,430.765173433441,430.92744465300257,False,0,561
endpos,8,3,True,True,0.0,421.89229438387684,481.9969062195774,False,0,561
endpos,8,4,True,True,0.2,410.3353114739994,464.95548945914214,False,0,561
endpos,8,5,True,True,0.2,363.2591302540425,464.99789451805117,False,0,561
